lot_id,api,formulation,mission,outcome_confidence,radiation_exposure_confidence,temperature_exposure_confidence,humidity_exposure_confidence,co2_exposure_confidence,pressure_exposure_confidence,overall_exposure_confidence,rationale
DS01_01,Caffeine,Tablet,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 93.0% verified coverage; Cabin telemetry has 40.0% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_02,Diphenhydramine,Capsule,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_03,Diphenhydramine,Solution,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_04,Epinephrine,Autoinjector,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_05,Lidocaine,Solution,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_06,Naloxone,Solution,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_07,Promethazine,Solution,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 28.4% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_08,Promethazine,Tablet,SpX-15,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 93.0% verified coverage; Cabin telemetry has 40.0% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_09,Caffeine,Tablet,SpX-16,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 15.5% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_10,Promethazine,Tablet,SpX-16,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 15.5% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_11,Epinephrine,Autoinjector,SpX-17,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 89.4% verified coverage; Cabin telemetry has 23.9% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_12,Diphenhydramine,Solution,NG-11,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 31.0% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_13,Lidocaine,Solution,NG-11,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 31.0% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_14,Promethazine,Solution,NG-11,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 90.8% verified coverage; Cabin telemetry has 31.0% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_15,Caffeine,Tablet,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 89.4% verified coverage; Cabin telemetry has 20.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_16,Diazepam,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,Radiation has 89.4% verified coverage; Cabin telemetry has 20.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_17,Diphenhydramine,Capsule,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_18,Diphenhydramine,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_19,Ketamine,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_20,Lidocaine,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_21,Naloxone,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_22,Promethazine,Solution,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
DS01_23,Promethazine,Tablet,SpX-18,HIGH (100% traceably verified to figures & Table 1),HIGH,LOW,LOW,LOW,LOW,MEDIUM,Radiation has 88.5% verified coverage; Cabin telemetry has 13.8% coverage; Dates launch-to-landing reconciled; Outcomes traceably verified.
