lot_id,mission,api,formulation,reported_days_in_space,current_start,current_end,verified_launch_start,verified_landing_end,difference_hours,definition_of_exposure,source,confidence,reconciliation_notes
DS01_01,SpX-15,Caffeine,Tablet,199,2018-07-02,2019-01-17,2018-06-29,2019-01-14,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_02,SpX-15,Diphenhydramine,Capsule,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_03,SpX-15,Diphenhydramine,Solution,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_04,SpX-15,Epinephrine,Autoinjector,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_05,SpX-15,Lidocaine,Solution,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_06,SpX-15,Naloxone,Solution,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_07,SpX-15,Promethazine,Solution,424,2018-07-02,2019-08-30,2018-06-29,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_08,SpX-15,Promethazine,Tablet,199,2018-07-02,2019-01-17,2018-06-29,2019-01-14,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_09,SpX-16,Caffeine,Tablet,265,2018-12-08,2019-08-30,2018-12-05,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_10,SpX-16,Promethazine,Tablet,265,2018-12-08,2019-08-30,2018-12-05,2019-08-27,72,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +3d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_11,SpX-17,Epinephrine,Autoinjector,248,2019-05-06,2020-01-09,2019-05-04,2020-01-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_12,NG-11,Diphenhydramine,Solution,132,2019-04-19,2019-08-29,2019-04-17,2019-08-27,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_13,NG-11,Lidocaine,Solution,132,2019-04-19,2019-08-29,2019-04-17,2019-08-27,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_14,NG-11,Promethazine,Solution,132,2019-04-19,2019-08-29,2019-04-17,2019-08-27,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_15,SpX-18,Caffeine,Tablet,166,2019-07-27,2020-01-09,2019-07-25,2020-01-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_16,SpX-18,Diazepam,Solution,166,2019-07-27,2020-01-09,2019-07-25,2020-01-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_17,SpX-18,Diphenhydramine,Capsule,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_18,SpX-18,Diphenhydramine,Solution,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_19,SpX-18,Ketamine,Solution,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_20,SpX-18,Lidocaine,Solution,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_21,SpX-18,Naloxone,Solution,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_22,SpX-18,Promethazine,Solution,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_23,SpX-18,Promethazine,Tablet,257,2019-07-27,2020-04-09,2019-07-25,2020-04-07,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_24,SpX-20,Caffeine,Tablet,313,2020-03-09,2021-01-16,2020-03-07,2021-01-14,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_25,SpX-20,Diazepam,Solution,972,2020-03-09,2022-11-06,2020-03-07,2022-11-04,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_26,SpX-20,Diphenhydramine,Capsule,490,2020-03-09,2021-07-12,2020-03-07,2021-07-10,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_27,SpX-20,Diphenhydramine,Solution,490,2020-03-09,2021-07-12,2020-03-07,2021-07-10,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_28,SpX-20,Ketamine,Solution,490,2020-03-09,2021-07-12,2020-03-07,2021-07-10,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_29,SpX-20,Lidocaine,Solution,490,2020-03-09,2021-07-12,2020-03-07,2021-07-10,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_30,SpX-20,Naloxone,Solution,573,2020-03-09,2021-10-03,2020-03-07,2021-10-01,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_31,SpX-20,Promethazine,Solution,490,2020-03-09,2021-07-12,2020-03-07,2021-07-10,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
DS01_32,SpX-20,Promethazine,Tablet,313,2020-03-09,2021-01-16,2020-03-07,2021-01-14,48,Total Spaceflight Duration: Launch-to-Landing (Nowadly et al. Table 1 & Methods),Nowadly et al. (2026) Table 1; NASA Flight Manifests & ISS Daily Summary Reports,HIGH,Legacy end date was shifted +2d because legacy script added days_in_space to ISS arrival instead of launch date.
